DateTime,Date,Hour,Month,Month_Name,Day_of_Week,Consumption_kWh,Voltage_V,Temperature_C,Zone,Cost_INR
2024-01-01 00:00:00,2024-01-01,0,1,January,Monday,0.5,224.6,13.3,Living Room,4.25
2024-01-01 01:00:00,2024-01-01,1,1,January,Monday,1.22,220.1,16.3,Living Room,10.37
2024-01-01 02:00:00,2024-01-01,2,1,January,Monday,1.14,232.4,18.4,Office,9.69
2024-01-01 03:00:00,2024-01-01,3,1,January,Monday,1.03,224.7,23.0,Kitchen,8.76
2024-01-01 04:00:00,2024-01-01,4,1,January,Monday,0.64,221.7,24.4,AC Unit,5.44
2024-01-01 05:00:00,2024-01-01,5,1,January,Monday,1.28,226.6,15.2,AC Unit,10.88
2024-01-01 06:00:00,2024-01-01,6,1,January,Monday,8.15,230.9,24.6,Factory Floor,69.28
2024-01-01 07:00:00,2024-01-01,7,1,January,Monday,5.53,233.1,23.3,AC Unit,47.01
2024-01-01 08:00:00,2024-01-01,8,1,January,Monday,7.44,219.1,13.4,AC Unit,63.24
2024-01-01 09:00:00,2024-01-01,9,1,January,Monday,8.81,238.8,15.7,Factory Floor,74.89
2024-01-01 10:00:00,2024-01-01,10,1,January,Monday,2.64,226.8,15.6,Kitchen,22.44
2024-01-01 11:00:00,2024-01-01,11,1,January,Monday,2.67,234.8,20.3,Living Room,22.7
2024-01-01 12:00:00,2024-01-01,12,1,January,Monday,2.61,222.1,20.9,Kitchen,22.18
2024-01-01 13:00:00,2024-01-01,13,1,January,Monday,2.46,224.5,23.9,Office,20.91
2024-01-01 14:00:00,2024-01-01,14,1,January,Monday,2.22,225.8,21.5,Living Room,18.87
2024-01-01 15:00:00,2024-01-01,15,1,January,Monday,2.23,218.8,14.7,AC Unit,18.95
2024-01-01 16:00:00,2024-01-01,16,1,January,Monday,2.07,239.9,18.5,AC Unit,17.59
2024-01-01 17:00:00,2024-01-01,17,1,January,Monday,2.21,230.0,23.3,Factory Floor,18.79
2024-01-01 18:00:00,2024-01-01,18,1,January,Monday,6.71,235.9,18.1,Office,57.03
2024-01-01 19:00:00,2024-01-01,19,1,January,Monday,8.3,226.7,25.0,Kitchen,70.55
2024-01-01 20:00:00,2024-01-01,20,1,January,Monday,8.13,219.1,11.6,Kitchen,69.11
2024-01-01 21:00:00,2024-01-01,21,1,January,Monday,9.59,219.5,15.7,Factory Floor,81.52
2024-01-01 22:00:00,2024-01-01,22,1,January,Monday,9.09,238.7,10.2,Living Room,77.27
2024-01-01 23:00:00,2024-01-01,23,1,January,Monday,2.68,230.9,14.0,AC Unit,22.78
2024-01-02 00:00:00,2024-01-02,0,1,January,Tuesday,1.32,228.9,24.3,AC Unit,11.22
2024-01-02 01:00:00,2024-01-02,1,1,January,Tuesday,0.79,230.2,11.6,AC Unit,6.71
2024-01-02 02:00:00,2024-01-02,2,1,January,Tuesday,0.67,222.8,15.6,Kitchen,5.7
2024-01-02 03:00:00,2024-01-02,3,1,January,Tuesday,1.24,230.7,10.0,AC Unit,10.54
2024-01-02 04:00:00,2024-01-02,4,1,January,Tuesday,0.62,226.7,24.8,AC Unit,5.27
2024-01-02 05:00:00,2024-01-02,5,1,January,Tuesday,1.0,231.6,11.2,Factory Floor,8.5
2024-01-02 06:00:00,2024-01-02,6,1,January,Tuesday,8.43,230.8,11.9,Factory Floor,71.66
2024-01-02 07:00:00,2024-01-02,7,1,January,Tuesday,8.01,230.7,19.1,Kitchen,68.08
2024-01-02 08:00:00,2024-01-02,8,1,January,Tuesday,8.54,234.6,20.7,Factory Floor,72.59
2024-01-02 09:00:00,2024-01-02,9,1,January,Tuesday,8.64,228.5,17.8,Living Room,73.44
2024-01-02 10:00:00,2024-01-02,10,1,January,Tuesday,2.25,219.5,10.3,Office,19.12
2024-01-02 11:00:00,2024-01-02,11,1,January,Tuesday,2.23,223.3,11.1,Living Room,18.95
2024-01-02 12:00:00,2024-01-02,12,1,January,Tuesday,2.23,239.7,22.9,Living Room,18.95
2024-01-02 13:00:00,2024-01-02,13,1,January,Tuesday,2.51,224.7,17.3,Office,21.33
2024-01-02 14:00:00,2024-01-02,14,1,January,Tuesday,2.13,240.5,18.6,Factory Floor,18.11
2024-01-02 15:00:00,2024-01-02,15,1,January,Tuesday,2.24,229.4,16.1,Living Room,19.04
2024-01-02 16:00:00,2024-01-02,16,1,January,Tuesday,2.1,228.3,16.4,Factory Floor,17.85
2024-01-02 17:00:00,2024-01-02,17,1,January,Tuesday,2.86,219.3,19.8,Living Room,24.31
2024-01-02 18:00:00,2024-01-02,18,1,January,Tuesday,6.97,237.2,11.6,Kitchen,59.24
2024-01-02 19:00:00,2024-01-02,19,1,January,Tuesday,7.21,228.1,14.2,Kitchen,61.28
2024-01-02 20:00:00,2024-01-02,20,1,January,Tuesday,9.57,237.4,22.8,Living Room,81.34
2024-01-02 21:00:00,2024-01-02,21,1,January,Tuesday,7.2,238.1,24.5,Kitchen,61.2
2024-01-02 22:00:00,2024-01-02,22,1,January,Tuesday,7.15,223.1,16.0,Living Room,60.78
